system_size_kw,tilt,azimuth,losses,tilt_deviation,azimuth_deviation,latitude,solrad_annual,ac_annual,city,region
12.06,35.1,321.7,15.3,11.450000000000003,-38.30000000000001,-23.65,6.260674307900832,19818.9,Antofagasta,Antofagasta
7.71,24.4,5.7,18.8,0.75,5.699999999999989,-23.65,6.260674307900832,13086.5,Antofagasta,Antofagasta
13.16,28.3,18.4,17.6,4.650000000000002,18.400000000000006,-23.65,6.260674307900832,22354.7,Antofagasta,Antofagasta
11.07,23.2,9.4,17.1,-0.4499999999999993,9.400000000000006,-23.65,6.260674307900832,19158.9,Antofagasta,Antofagasta
3.22,22.3,15.8,11.8,-1.3499999999999979,15.800000000000011,-23.65,6.260674307900832,5903.1,Antofagasta,Antofagasta
14.68,17.4,324.9,13.6,-6.25,-35.10000000000002,-23.65,6.260674307900832,25197.9,Antofagasta,Antofagasta
11.89,27.1,8.3,14.8,3.450000000000003,8.300000000000011,-23.65,6.260674307900832,21142.8,Antofagasta,Antofagasta
12.22,16.8,352.4,11.5,-6.849999999999998,-7.600000000000023,-23.65,6.260674307900832,22453.1,Antofagasta,Antofagasta
3.67,29.0,347.9,12.7,5.350000000000001,-12.100000000000023,-23.65,6.260674307900832,6635.7,Antofagasta,Antofagasta
7.86,32.3,21.8,13.1,8.649999999999999,21.80000000000001,-23.65,6.260674307900832,13885.7,Antofagasta,Antofagasta
6.82,26.6,37.0,11.3,2.950000000000003,37.0,-23.65,6.260674307900832,12008.2,Antofagasta,Antofagasta
14.05,21.4,44.9,15.5,-2.25,44.900000000000006,-23.65,6.260674307900832,22969.3,Antofagasta,Antofagasta
10.37,27.3,32.9,17.1,3.650000000000002,32.900000000000006,-23.65,6.260674307900832,17251.0,Antofagasta,Antofagasta
12.7,21.2,357.3,10.7,-2.4499999999999993,-2.7000000000000455,-23.65,6.260674307900832,23724.2,Antofagasta,Antofagasta
7.76,31.1,8.8,14.8,7.450000000000003,8.800000000000011,-23.65,6.260674307900832,13699.0,Antofagasta,Antofagasta
4.95,9.0,19.2,17.8,-14.649999999999999,19.19999999999999,-23.65,6.260674307900832,8136.9,Antofagasta,Antofagasta
9.21,21.0,3.0,17.5,-2.6499999999999986,3.0,-23.65,6.260674307900832,15899.1,Antofagasta,Antofagasta
2.83,7.7,3.3,18.2,-15.95,3.3000000000000114,-23.65,6.260674307900832,4664.1,Antofagasta,Antofagasta
12.76,11.7,20.6,14.5,-11.95,20.599999999999994,-23.65,6.260674307900832,22003.8,Antofagasta,Antofagasta
10.21,34.6,358.5,18.2,10.950000000000003,-1.5,-23.65,6.260674307900832,17181.5,Antofagasta,Antofagasta
11.86,30.8,341.8,12.4,7.150000000000002,-18.200000000000045,-23.65,6.260674307900832,21313.5,Antofagasta,Antofagasta
6.61,17.9,349.6,13.6,-5.75,-10.399999999999977,-23.65,6.260674307900832,11853.0,Antofagasta,Antofagasta
